# This is the online version of Table 3 of G2C2 I (Vanderbeke et al. 2013): magnitudes based on SDSS data. 
# Columns are ID, g, sigma_g, r, sigma_r, i, sigma_i, z, sigma_z, CMD_g, CMD_r, CMD_i, CMD_z,
# with CMD_{g,r,i,z} the applied magnitude corrections to clean foreground stars based on the CMDs. 


Whiting1 ,          16.637 ,           0.083 ,          16.162 ,           0.069 ,          15.953 ,           0.060 ,          15.854 ,           0.060 ,            0.00 ,            0.00 ,            0.00 ,            0.00   
Pal1 ,          15.118 ,           0.042 ,          14.769 ,           0.033 ,          14.615 ,           0.030 ,          14.522 ,           0.032 ,            0.46 ,            0.62 ,            0.67 ,            0.69   
NGC2419 ,          11.198 ,           0.009 ,          10.727 ,           0.009 ,          10.473 ,           0.009 ,          10.371 ,           0.010 ,            0.01 ,            0.01 ,            0.01 ,            0.01   
Pal3 ,          15.389 ,           0.046 ,          14.824 ,           0.036 ,          14.585 ,           0.033 ,          14.304 ,           0.043 ,            0.01 ,            0.03 ,            0.04 ,            0.04   
Pal4 ,          15.284 ,           0.052 ,          14.636 ,           0.058 ,          14.293 ,           0.083 ,          14.074 ,           0.107 ,            0.00 ,            0.00 ,            0.00 ,            0.00   
NGC4147 ,          11.185 ,           0.010 ,          10.823 ,           0.008 ,          10.670 ,           0.007 ,          10.443 ,           0.005 ,            0.00 ,            0.00 ,            0.00 ,            0.00   
NGC5024 ,           8.518 ,           0.003 ,           8.122 ,           0.004 ,           7.991 ,           0.003 ,           7.676 ,           0.003 ,            0.00 ,            0.00 ,            0.00 ,            0.00   
NGC5053 ,          10.734 ,           0.012 ,          10.379 ,           0.008 ,          10.164 ,           0.007 ,          10.062 ,           0.005 ,            0.00 ,            0.00 ,            0.00 ,            0.00   
NGC5272 ,           7.071 ,           0.002 ,           6.712 ,           0.002 ,           6.555 ,           0.001 ,           6.135 ,           0.002 ,            0.00 ,            0.00 ,            0.00 ,            0.00   
NGC5466 ,          10.180 ,           0.013 ,           9.725 ,           0.011 ,           9.466 ,           0.009 ,           9.413 ,           0.009 ,            0.00 ,            0.00 ,            0.00 ,            0.00   
Pal5 ,          12.383 ,           0.069 ,          11.941 ,           0.067 ,          11.800 ,           0.056 ,          11.483 ,           0.136 ,            0.07 ,            0.10 ,            0.14 ,            0.14   
Pal14 ,          14.654 ,           0.028 ,          13.937 ,           0.047 ,          13.689 ,           0.044 ,          13.641 ,           0.052 ,            1.02 ,            0.58 ,            0.79 ,            0.81   
NGC6205 ,           6.903 ,           0.005 ,           6.667 ,           0.003 ,           6.397 ,           0.004 ,           6.076 ,           0.002 ,            0.00 ,            0.00 ,            0.00 ,            0.00   
NGC6229 ,          10.419 ,           0.007 ,           9.876 ,           0.005 ,           9.751 ,           0.005 ,           9.489 ,           0.004 ,            0.00 ,            0.00 ,            0.00 ,            0.00   
Pal15 ,          13.618 ,           0.032 ,          13.072 ,           0.043 ,          12.769 ,           0.060 ,          12.527 ,           0.057 ,            0.19 ,            0.16 ,            0.14 ,            0.12   
NGC6535 ,          10.274 ,           0.030 ,           9.901 ,           0.029 ,           9.773 ,           0.033 ,           9.470 ,           0.040 ,            0.11 ,            0.08 ,            0.06 ,            0.06   
NGC6934 ,           9.446 ,           0.003 ,           9.059 ,           0.003 ,           8.858 ,           0.003 ,           8.576 ,           0.003 ,            0.00 ,            0.00 ,            0.00 ,            0.00   
NGC7006 ,          11.320 ,           0.012 ,          10.817 ,           0.012 ,          10.554 ,           0.012 ,          10.436 ,           0.012 ,            0.02 ,            0.02 ,            0.02 ,            0.02   
NGC7078 ,           7.230 ,           0.006 ,           6.876 ,           0.004 ,           6.802 ,           0.004 ,           6.289 ,           0.008 ,            0.00 ,            0.00 ,            0.00 ,            0.00   
NGC7089 ,           7.298 ,           0.003 ,           6.854 ,           0.004 ,           6.758 ,           0.004 ,           6.407 ,           0.002 ,            0.00 ,            0.00 ,            0.00 ,            0.00   
Pal13 ,          15.736 ,           0.060 ,          15.392 ,           0.050 ,          15.270 ,           0.048 ,          15.147 ,           0.049 ,            0.00 ,            0.00 ,            0.00 ,            0.00   
